# Found 2012 lines in ascl.php
# ascl:1010.005 Particle module of Piernik MHD code</td><td>Piern
ascl:1010.073 partiview
ascl:1102.002 PBL
ascl:1207.012 PCA
ascl:1102.022 PDRT
ascl:1108.008 PÉGASE-HR
ascl:1108.007 PÉGASE
ascl:1010.060 Pencil
ascl:1103.002 PGPLOT
ascl:1209.008 Phantom-GRAPE
ascl:1112.006 PhAst
ascl:1106.002 PHOEBE
ascl:1010.056 PHOENIX
ascl:1112.004 PHOX
ascl:1007.001 PINTofALE
ascl:1102.007 PixeLens
ascl:1106.003 PLplot
ascl:1206.007 Plumix
ascl:1010.045 PLUTO
ascl:9909.001 PMCode
ascl:1102.008 PMFAST
# ascl:1102.015 PMFASTIC</td><td>PMFASTIC is a parallel initial c
ascl:1109.005 PolSpice
ascl:0202.001 PopRatio
ascl:1110.017 POWMES
ascl:1210.002 pPXF
ascl:1112.016 PREDICT
ascl:1107.017 PRESTO
ascl:1204.015 PROFIT
ascl:1208.005 PSM
ascl:1010.011 PSpectRe
ascl:1105.014 PSRCHIVE
ascl:1107.019 PSRPOP
ascl:1110.014 pureS2HAT
ascl:1210.026 PVS-GRMHD
ascl:1204.002 pyBLoCXS
ascl:1210.027 PyCosmic
ascl:1112.014 PyEphem
ascl:1207.009 PyFITS
ascl:1103.012 Pyflation
ascl:1208.004 PyKE
ascl:1109.010 PyModelFit
ascl:1207.011 PyRAF
ascl:1207.010 PySALT
ascl:1109.001 PySpecKit
ascl:1210.019 QFitsView
ascl:1210.028 QYMSYM
ascl:1104.009 r-Java
ascl:1106.005 R3D
ascl:1010.075 Radex
ascl:1108.014 RADICAL
ascl:1202.015 RADMC-3D
ascl:1108.016 RADMC
ascl:9910.009 RADPACK
ascl:1011.007 RAMSES
ascl:0008.002 RATRAN
# ascl:1105.009 Ray Tracing Codes
ascl:1107.009 REAS3
ascl:1110.016 REBOUND
ascl:1106.026 RECFAST
ascl:1206.001 RegiStax
# ascl:1010.017 RFI Software</td><td>The RFI software presented h
ascl:1104.008 Rmodel
